,Year,Month,광진구 Power Usage,양천구 Power Usage,도봉구 Power Usage,서대문구 Power Usage,중구 Power Usage,중랑구 Power Usage,송파구 Power Usage,종로구 Power Usage,용산구 Power Usage,은평구 Power Usage,강서구 Power Usage,서초구 Power Usage,강남구 Power Usage,동대문구 Power Usage,노원구 Power Usage,영등포구 Power Usage,성북구 Power Usage,마포구 Power Usage,금천구 Power Usage,관악구 Power Usage,강동구 Power Usage,성동구 Power Usage,강북구 Power Usage,구로구 Power Usage,동작구 Power Usage
0,2015,10,189.15,232.87,220.63,193.39,195.46,200.37,223.35,186.85,217.64,206.8,205.89,241.87,226.31,193.19,223.78,198.58,212.13,196.4,190.56,173.26,210.39,218.32,197.36,208.82,194.67
1,2015,11,198.32,243.41,236.12,202.48,204.73,211.97,235.13,195.69,226.23,218.16,217.06,253.05,234.36,202.49,239.37,206.92,223.14,205.48,201.78,182.78,223.84,228.28,208.84,219.72,204.28
2,2015,12,205.93,249.14,244.78,214.99,215.13,220.39,255.81,206.61,235.79,226.33,222.87,261.02,239.76,211.33,246.86,217.7,231.84,212.41,209.14,190.24,233.3,234.82,217.25,227.88,212.23
3,2016,1,220.62,264.87,263.12,231.71,230.94,237.81,256.92,223.02,253.57,243.12,237.79,274.4,260.27,226.94,263.18,233.51,248.67,228.83,226.29,203.35,249.36,251.73,234.07,243.91,224.82
4,2016,2,223.33,265.88,266.32,233.44,234.51,242.77,259.3,226.81,257.62,246.93,241.19,282.75,252.14,231.9,265.2,234.46,253.84,231.62,229.08,208.97,251.37,257.23,239.73,246.98,228.51
5,2016,3,198.79,241.92,236.71,210.53,206.95,215.97,232.24,201.1,227.87,221.86,216.35,249.49,233.62,207.17,238.42,212.83,226.39,206.82,203.92,185.23,223.99,229.54,213.14,221.48,204.43
6,2016,4,198.48,242.14,236.51,209.69,203.44,214.18,233.52,197.92,225.85,221.1,216.87,247.94,232.41,206.24,239.83,208.15,226.55,206.35,201.2,186.04,223.09,228.72,212.11,219.8,207.37
7,2016,5,186.48,228.71,220.3,198.28,193.2,200.63,220.38,185.81,213.23,208.09,203.35,236.97,224.12,193.81,224.48,197.56,212.13,195.91,188.26,173.36,205.64,212.33,197.81,207.35,194.58
8,2016,6,198.21,235.62,228.15,205.95,205.19,208.15,231.56,195.64,231.02,213.05,209.46,251.82,241.56,202.61,231.93,206.01,220.68,210.46,192.16,180.89,216.18,223.23,203.62,214.75,203.5
9,2016,7,218.19,257.89,243.4,222.83,227.29,223.83,252.78,214.74,258.28,226.98,225.43,290.19,280.11,218.79,246.86,228.15,234.95,232.06,207.49,194.68,235.78,240.96,215.37,233.0,218.94
10,2016,8,297.73,346.32,320.28,294.77,308.12,296.94,338.9,283.42,359.48,300.56,305.94,397.49,376.72,292.22,324.47,304.35,308.37,321.67,279.15,257.05,315.13,319.91,283.15,314.34,295.09
11,2016,9,240.99,294.72,266.07,243.56,249.5,250.6,291.25,234.67,290.22,264.86,259.11,308.36,286.36,250.17,270.75,249.96,268.5,256.7,234.37,219.02,253.69,278.02,247.75,261.01,247.34
12,2016,10,187.45,230.56,217.6,199.56,196.16,200.33,221.27,185.45,217.69,207.64,200.71,240.82,229.08,193.31,221.94,197.96,210.35,193.31,186.07,174.02,204.3,210.07,195.7,207.9,196.48
13,2016,11,193.93,238.65,232.37,205.54,202.99,208.85,230.48,188.13,221.84,216.73,210.69,246.11,232.4,199.8,235.48,202.96,219.22,206.01,194.73,180.37,215.36,216.95,205.68,217.49,204.11
14,2016,12,201.42,245.74,240.79,214.52,213.0,218.51,236.73,197.84,228.66,224.57,214.06,256.62,239.59,208.04,242.9,212.82,227.47,211.53,201.84,186.39,223.01,226.08,212.25,225.76,210.47
15,2017,1,214.99,260.75,256.95,228.12,222.71,233.2,252.49,212.09,244.05,240.3,226.42,268.7,250.82,222.89,258.75,226.27,243.94,228.8,218.39,199.56,237.96,244.34,228.47,239.29,223.28
16,2017,2,216.53,262.26,260.65,228.91,224.64,236.9,254.44,214.12,246.06,244.56,229.17,266.23,247.51,226.18,259.83,226.06,250.09,231.08,220.97,202.29,240.01,249.03,233.69,242.36,225.86
17,2017,3,187.27,232.15,222.87,203.43,198.16,205.01,223.98,187.26,212.56,211.59,201.56,239.31,225.36,196.21,225.17,201.12,215.67,200.42,191.72,173.93,208.72,215.96,199.89,211.47,196.32
18,2017,4,194.96,241.33,232.59,210.56,202.59,212.54,236.53,191.09,220.51,219.67,211.26,246.23,231.99,202.7,237.44,201.98,226.81,209.35,197.89,182.42,218.0,224.86,207.74,218.35,205.27
19,2017,5,181.71,228.33,214.58,199.14,188.86,197.89,221.33,177.31,205.66,204.33,197.91,233.51,221.43,188.93,218.92,190.78,210.59,195.32,182.44,168.82,204.99,209.98,191.76,204.35,190.89
20,2017,6,188.51,233.94,219.56,203.95,198.02,202.43,229.61,183.93,218.66,207.81,204.02,246.11,235.82,195.79,225.05,197.37,217.33,205.13,188.8,174.57,212.71,218.94,195.53,210.57,197.6
21,2017,7,229.77,274.67,253.92,242.43,240.8,237.02,269.75,222.48,271.91,234.71,236.8,303.01,304.47,227.43,260.06,239.86,247.65,251.8,217.84,202.58,254.85,257.26,221.34,246.33,230.19
22,2017,8,274.58,332.75,301.42,285.28,284.26,285.16,332.48,264.71,328.48,292.52,293.76,380.79,348.99,280.99,306.13,284.9,300.84,304.16,264.52,244.04,300.04,323.89,269.37,297.68,277.99
23,2017,9,211.6,265.6,237.0,224.68,220.44,223.18,261.51,205.66,248.98,232.66,229.12,274.06,261.53,217.08,242.96,221.09,241.22,229.35,210.6,194.76,231.96,250.21,217.46,231.78,219.3
24,2017,10,181.79,229.8,213.85,199.51,190.88,197.07,223.24,179.47,210.57,203.84,200.07,238.57,226.87,188.92,217.34,193.83,209.86,196.83,185.33,167.72,202.69,214.17,190.34,205.07,191.26
25,2017,11,190.32,240.21,229.45,208.59,200.12,208.13,235.09,188.49,218.05,214.77,209.16,247.42,234.22,198.49,233.2,200.55,220.2,205.54,195.35,175.44,216.45,221.6,201.31,215.33,200.21
26,2017,12,204.94,252.97,245.84,226.27,220.22,224.55,248.46,208.83,236.29,229.9,221.27,262.83,248.63,212.82,247.5,218.85,236.48,221.56,209.25,187.46,232.58,238.14,215.8,230.0,211.64
27,2018,1,219.9,269.95,262.08,241.98,235.77,241.74,267.35,225.71,254.4,248.53,236.51,280.44,263.07,229.45,264.24,234.48,255.99,237.89,225.36,201.63,247.68,257.04,234.42,246.64,226.89
28,2018,2,223.22,271.38,266.25,240.09,246.99,245.1,270.89,228.12,257.82,252.39,239.6,278.61,258.78,231.32,267.3,235.11,259.71,241.69,226.21,205.71,249.42,262.35,238.69,249.34,230.52
